Book,Author,Read Importance (1-5)
Pandora’s Lab: Seven Stories of Science Gone Wrong,Paul A. Offit MD.,3
Beyond Order: 12 More Rules for Life,Jordan B. Peterson,5
Genetic Engineering: Progress and Controversy, Scientific American,4
My Life and Work,Henry Ford & Samuel Crowther, 4
The Secret History of the War on Cancer,Devra Davis Ph.D.,4
The New Confessions of an Economic Hit Man,John Perkins,3
Animal Farm,George Orwll,3
The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win,Jocko Willink & Leif Babin,4
Extreme Ownership: How U.S. Navy SEALs Lead and Wink,Jocko Willink & Leif Babin,5
Deep Undercover: My Secret Life and Tangled Allegiances as a KGB Spy in America,Jack Barsky & Cindy Coloma,4
Happiness Is a Serious Problem: A Human Nature Repair Manual,Dennis Prager,3
The Alignment Problem: Machine Learning and Human Values,Brian Christian,3
Applied Economics: Thinking Beyond Stage One: Second Edition,Thomas Sowell,4
A Personal Odyssey,Thomas Sowell,4
The Housing Boom and Bust,Thomas Sowell,3
Scary Close: Dropping the Act and Finding True Intimacy,Donald Miller & Bob Goff,5
The Secret Handshake: Mastering the Politics of the Business Inner Circle,Kathleen Kelley Reardon,3
Irreversible Damage: The Transgender Craze Seducing Our Daughters,Abigail Shrier,5
1984:New Classic Edition,George Orwell,3
Man's Search for Meaning,Viktor E. Frankl,4
Negotiate This!: By Caring, but Not T-H-A-T Much,Herb Cohen,4
To Sell Is Human: The Surprising Truth about Moving Others,Roger Fisher & William Ury,3
Getting Past No: Negotiating in Difficult Situations,William Ury,3
The Quest for Cosmic Justice,Thomans Sowell,2
Intellectuals and Race,Thomas Sowell,3
Marxism: Philosophy and Economics,Thomas Sowell,3
Don't Burn This Book: Thinking for Yourself in an Age of Unreason,Dave Rubin,4
The Science of Sci-Fi: From Warp Speed to Interstellar Travel,Erin Macdonald,3
Break Shot: My First 21 Years: Words + Music, Vol. 2,James Taylor,3
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,4
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian & Tom Griffiths,3
Mindset: The New Psychology of Success,Carol S. Dewck PhD,2
Malcolm and Me,Ishmael Reed,3
Caffeine: How Caffeine Created the Modern World,Michael Pollan,3
Make It Stick: The Science of Successful Learning,Peter C. Brown & Henry L. Roediger III & Mark A. McDaniel,2
The Unwritten Laws of Engineering,W. J. King,3
To Forgive Design: Understanding Failure,Henry Petoski,3
To Engineer Is Human: The Role of Failure in Successful Design,Henry Petoski,4
The Design of Everyday Things,Donald A. Norman,3
